bet_id,user_id,channel,stake_amount,minutes_before_close,bets_last_7d,win_rate_last_30d,ip_risk,geo_risk,num_picks,suspicious
1,1537.0,web,32.85,160,5,0.3195707137002372,0,0,6,1
2,6699.0,web,226.27,121,1,0.3289897034387496,0,1,7,0
3,5307.0,ios,66.74,80,4,0.1542584902286515,0,0,7,1
4,1919.0,web,110.23,21,5,0.3304531137826185,0,0,3,0
5,2372.0,ios,28.78,113,1,0.0,1,0,7,0
6,8566.0,android,66.5,25,4,0.0867132111664225,0,0,4,0
7,3583.0,web,29.4,62,11,0.1842379437591153,0,0,1,0
8,5441.0,web,56.23,2,2,0.0,0,0,2,1
9,4239.0,web,31.18,166,6,0.1814778394892191,0,0,4,0
10,7118.0,web,48.68,28,5,0.199007862508625,0,1,7,1
11,2092.0,ios,76.3,53,7,0.182910824562737,0,1,2,1
12,2456.0,ios,94.77,6,3,0.1218420837953644,0,0,1,0
13,7015.0,android,72.98,126,6,0.0,0,0,5,0
14,9583.0,ios,24.22,171,3,0.2823206970647482,0,0,2,1
15,8084.0,web,15.44,65,6,0.1268675851708065,0,0,7,0
16,8680.0,web,41.5,19,5,0.1569730018713215,0,0,7,0
17,8955.0,ios,60.84,112,12,0.1653915831890077,0,0,6,0
18,4516.0,ios,21.07,57,5,0.2250133349356086,0,0,4,1
19,4896.0,web,63.36,36,3,0.1614759377113232,0,0,7,0
20,2176.0,web,38.1,20,3,0.2834977388800038,1,0,2,0
21,3997.0,ios,111.38,15,7,0.245576622911357,0,1,2,0
22,5859.0,web,55.9,83,3,0.1479041177766428,0,0,6,1
23,9504.0,web,84.64,135,5,0.0674520625629991,0,0,2,0
24,6582.0,web,38.69,118,5,0.154800469554625,0,0,1,1
25,9964.0,android,57.87,10,8,0.1535741682009591,1,0,2,1
26,8651.0,android,28.29,0,1,0.2432984899557045,0,0,3,0
27,8240.0,web,91.45,4,5,0.1115870452927578,0,0,3,0
28,1257.0,web,53.21,38,7,0.1682152958042536,0,0,2,1
29,7047.0,web,164.39,3,7,0.0233734291304557,0,0,1,1
30,6469.0,web,88.17,65,5,0.3077048711917942,0,0,1,0
31,7748.0,web,23.77,177,6,0.175600802140208,0,0,5,0
32,1764.0,web,21.45,114,7,0.2551232247345542,0,0,5,0
33,7423.0,ios,66.28,56,7,0.0947229332777615,0,1,6,0
34,3851.0,android,147.43,2,7,0.2785651641741545,0,1,1,0
35,6437.0,web,56.42,160,3,0.1700395584780526,0,0,5,1
36,6511.0,android,40.02,50,3,0.069953631255649,0,0,5,0
37,1092.0,android,62.32,77,6,0.0121799754921794,0,0,7,0
38,5855.0,android,149.57,115,3,0.258798481872675,0,0,4,1
39,2248.0,android,49.71,51,4,0.1929511841623559,0,0,5,0
40,3404.0,web,76.85,49,5,0.2119035082478713,0,0,5,0
41,1931.0,android,93.18,73,7,0.3846679597765274,0,0,4,0
42,7625.0,web,152.68,147,5,0.062062835401662,0,0,1,1
43,3627.0,android,152.25,54,3,0.1831877901044748,1,0,2,1
44,9059.0,web,70.67,141,3,0.1868093959593261,0,0,6,1
45,6339.0,ios,172.97,98,6,0.2968544190117195,0,0,2,0
46,5577.0,ios,118.1,85,0,0.1719285750312399,0,0,2,0
47,6139.0,android,161.02,39,2,0.1256604673477244,0,0,2,1
48,8684.0,android,40.02,2,6,0.2556927564795431,0,0,7,0
49,1787.0,kiosk,54.8,25,5,0.0586919935758244,0,0,5,1
50,9225.0,android,70.65,74,11,0.1818467997781825,0,0,7,1
51,6406.0,web,48.34,141,7,0.1250233842048264,0,0,1,0
52,8865.0,web,72.71,159,8,0.3561353725360895,0,0,2,0
53,7885.0,android,96.61,153,1,0.313028406327208,0,0,3,1
54,6085.0,android,11.83,66,5,0.0322618601328074,0,0,1,1
55,7097.0,ios,31.48,47,9,0.1517824683932025,0,0,4,0
56,2439.0,kiosk,22.08,167,6,0.2552461661207088,0,1,4,0
57,5018.0,android,73.31,5,5,0.2058012176308613,0,0,4,0
58,6751.0,ios,76.88,170,1,0.1106306284715262,0,0,2,0
59,9239.0,web,7.71,92,3,0.1739017034046791,1,1,3,0
60,1784.0,android,59.19,143,4,0.3645217210517639,0,0,6,0
61,7668.0,web,73.75,87,6,0.2145303701869448,0,0,3,0
62,1349.0,ios,81.09,154,4,0.0,0,0,7,0
63,8913.0,web,29.63,165,5,0.2797077187201004,0,0,3,1
64,5489.0,web,56.54,92,2,0.3781338511907099,0,0,5,0
65,1844.0,android,29.71,11,6,0.3143951678154424,0,0,4,1
66,6955.0,android,152.88,62,6,0.0750835475201524,0,0,5,1
67,5718.0,android,101.07,0,5,0.3162478603410458,0,0,4,0
68,5732.0,web,100.33,127,5,0.1339680295316484,0,1,2,1
69,5372.0,android,20.03,139,4,0.0899108895646374,0,0,3,0
70,3044.0,web,23.52,41,10,0.2859902658633603,0,0,5,1
71,7031.0,android,159.22,112,7,0.2757479811932663,0,0,7,0
72,3308.0,kiosk,22.11,148,6,0.1879997914940094,0,0,6,1
73,7600.0,web,181.4,145,9,0.0,0,0,5,0
74,6594.0,web,51.81,138,4,0.1350378232093114,0,0,4,0
75,6882.0,ios,86.82,152,2,0.2851475234782581,0,0,1,0
76,4638.0,web,108.08,14,2,0.1029126237387745,0,0,5,1
77,8151.0,web,154.64,85,5,0.0699348046280855,0,0,5,1
78,4287.0,web,30.25,125,5,0.2734935532882414,0,0,5,0
79,1973.0,web,129.5,131,2,0.2193857669686273,0,0,7,1
80,5135.0,web,87.52,57,8,0.3517242613469959,0,0,6,0
81,2155.0,web,38.57,46,7,0.2179528836430669,0,0,3,0
82,4485.0,ios,39.99,131,6,0.1678319189007051,0,0,3,0
83,9758.0,android,26.16,40,2,0.176411612795509,1,0,5,1
84,9565.0,web,39.56,95,5,0.2040105988853169,0,0,3,0
85,3758.0,ios,146.58,21,4,0.0998792203502793,0,0,3,0
86,5140.0,android,85.51,154,5,0.2288100631923653,0,0,4,0
87,1647.0,web,88.21,64,2,0.0036470190791881,0,0,3,0
88,4793.0,android,130.44,81,5,0.1084505277921562,0,0,1,0
89,7122.0,ios,182.2,133,4,0.0337944087815577,0,0,1,1
90,1197.0,web,91.09,61,5,0.132098649718887,0,0,5,0
91,3148.0,web,81.93,24,3,0.0754159297785699,0,0,3,0
92,4252.0,web,281.9,3,5,0.2300710901896576,0,1,6,1
93,2001.0,ios,135.88,29,5,0.097949500029336,0,0,2,0
94,1169.0,web,49.37,19,7,0.1938831915127778,0,0,4,1
95,5125.0,ios,38.47,9,5,0.1789971285485128,0,0,1,0
96,3330.0,web,50.55,95,6,0.0546658348081867,0,1,2,0
97,8932.0,ios,285.43,19,10,0.2063189529422959,0,0,4,0
98,3238.0,web,60.24,49,11,0.095794226787813,0,0,2,0
99,1726.0,web,51.78,150,6,0.2053223081600645,0,0,2,0
100,8180.0,android,62.01,179,3,0.0751253907699913,0,0,1,1
101,5742.0,android,109.49,89,5,0.0926124294719767,0,0,1,0
102,8656.0,android,56.01,81,5,0.2923778066418844,0,0,4,0
103,1443.0,web,62.62,151,1,0.3845855114447987,0,0,4,1
104,9298.0,web,66.34,80,2,0.1161045802630728,0,0,1,0
105,8790.0,web,146.15,60,9,0.1720050885146007,0,0,6,0
106,7004.0,android,25.97,143,5,0.2435627544651867,0,0,2,0
107,6354.0,ios,88.72,3,3,0.1787020411863034,0,0,2,1
108,7673.0,ios,67.57,1,4,0.227558581125797,0,0,5,0
109,1049.0,android,136.2,42,2,0.431047372912654,0,0,5,1
110,2462.0,kiosk,51.68,28,7,0.3936807343841404,0,0,6,0
111,6452.0,android,100.76,114,5,0.2589099837506325,0,0,3,0
112,6737.0,android,79.67,75,5,0.1520913946932641,0,0,3,0
113,6096.0,ios,114.98,63,5,0.1849551862067638,0,0,3,0
114,9374.0,android,129.23,56,5,0.156379160487787,0,0,7,1
115,2711.0,web,42.47,68,6,0.1049598177117001,0,0,7,0
116,3647.0,android,78.23,24,3,0.3523182352014534,0,0,2,0
117,1233.0,web,16.05,2,8,0.2839232066194722,0,0,4,0
118,7369.0,android,105.71,13,2,0.0522880825136157,0,0,5,1
119,5181.0,android,88.91,40,7,0.0631359553996334,1,0,5,0
120,2694.0,ios,84.49,170,6,0.1663436749212984,0,0,2,0
121,4947.0,android,72.89,32,4,0.1736407398958858,0,0,2,0
122,2848.0,android,76.66,172,5,0.2553240859076602,0,0,2,0
123,2843.0,web,86.67,47,7,0.093215260845129,0,0,7,0
124,8801.0,kiosk,46.29,134,3,0.3026684485566966,0,0,3,1
125,4949.0,web,43.89,155,4,0.1546092423271201,0,0,1,1
126,7229.0,android,158.05,67,3,0.1225683801677544,0,0,6,0
127,6350.0,ios,53.1,76,4,0.187414827181073,0,0,3,0
128,8483.0,web,55.5,141,3,0.1300582186028651,0,0,1,0
129,1850.0,web,48.64,124,8,0.2090171361241351,1,0,5,0
130,1575.0,web,106.79,56,4,0.1683666269035863,1,0,5,1
131,7044.0,web,42.72,125,7,0.4505150385683281,0,0,4,0
132,9069.0,web,63.18,69,3,0.1615061183251157,0,0,5,0
133,4107.0,web,40.27,168,3,0.1441576368182417,0,0,3,0
134,8757.0,ios,35.82,6,2,0.1342477024148684,1,0,3,1
